,ds,yhat,yhat_lower,yhat_upper
0,2017-09-01,548.0942941645332,68.51348162380886,1033.4381083242822
1,2017-09-02,551.0587855526118,26.284768945066986,1009.7739439645824
2,2017-09-03,552.8877495432198,35.52840078946034,1032.706842448626
3,2017-09-04,554.1812286079123,45.94561534976542,1024.0650106926048
4,2017-09-05,555.3166519467178,62.98642890309042,1050.0552983043974
5,2017-09-06,555.7505640679918,67.52285095288478,1095.7326687423301
6,2017-09-07,556.7726575336508,69.83609563146365,1028.6974049606688
7,2017-09-08,554.6534998062244,76.03441092239575,1104.6790113430989
8,2017-09-09,556.9932738801815,104.31217447956875,1030.470478052713
9,2017-09-10,558.185752914231,43.46778032475352,1054.3135455681584
10,2017-09-11,558.8507299687287,22.496627471333717,1026.1055543417008
11,2017-09-12,559.3852239384227,76.2936245104621,1036.4893381093138
12,2017-09-13,559.2646183860882,60.909945028216214,1025.8008262689755
13,2017-09-14,559.7961267963361,50.77677573630143,1031.5763023538425
14,2017-09-15,557.2659905161588,46.13083614853291,1048.5027963036848
15,2017-09-16,559.2877441976043,67.03447154347931,1041.552216590577
16,2017-09-17,560.2657824708632,77.19890955344351,1074.9981368152523
17,2017-09-18,560.827460466011,65.32937562553062,1091.134016541888
18,2017-09-19,561.3740584753822,104.81653903835011,1061.5229373586278
19,2017-09-20,561.3817741033926,40.684574583969194,1008.6125289487949
20,2017-09-21,562.1551393318784,30.978922104704612,1046.2743525168978
21,2017-09-22,559.9742698501178,75.34964597698364,1087.9599446688048
22,2017-09-23,562.4432797099238,70.07854275885047,1058.0871937739028
23,2017-09-24,563.9540905099005,83.05972517644632,1053.0193490131514
24,2017-09-25,565.1188605822041,114.55550940126055,1061.6452560587643
25,2017-09-26,566.3213549289673,57.66697347382828,1024.7633702397638
26,2017-09-27,567.0184075988125,74.20540166515741,1069.2883742598774
27,2017-09-28,568.493860509906,72.74748231128311,1042.9122148727206
28,2017-09-29,567.0063712753056,97.78317707245817,1092.148604494846
29,2017-09-30,570.1384073561384,74.3731622563175,1077.3172605010507
30,2017-10-01,572.2606395232889,76.00665990124034,1057.325684796213
31,2017-10-03,575.616317189106,103.82528477468765,1035.2447476250013
32,2017-10-04,576.6548427900331,93.55584228700646,1038.9508566969776
33,2017-10-05,578.3500767408615,77.7324520662857,1063.3859559554965
34,2017-10-06,576.9492352850243,90.02946898139783,1057.8307563567942
35,2017-10-07,580.0264908612751,91.0491378464499,1072.362367581024
36,2017-10-08,581.9475818898861,82.7157173524269,1023.6477637379844
37,2017-10-09,583.3029403133957,94.5608591528059,1031.6026926736363
38,2017-10-10,584.4596391424842,98.63900294170807,1067.1956568498895
39,2017-10-11,584.8632967112694,109.40500318816106,1082.1633779340202
40,2017-10-12,585.7923105624213,96.18596028548733,1082.8422128110233
41,2017-10-13,583.5058066083346,92.590737264283,1088.2690545481864
42,2017-10-14,585.5926183143358,97.68721080932255,1073.4914209759786
43,2017-10-15,586.435510665471,71.3750220154735,1042.9606078911136
44,2017-10-16,586.6438641875219,104.94651675749195,1089.2379106574351
45,2017-10-17,586.6051340525731,116.7995988130458,1066.5900379264858
46,2017-10-18,585.7862348436519,99.6241683779882,1036.8111514222721
47,2017-10-19,585.4872384552455,65.09489267974983,1074.1014991902307
48,2017-10-20,581.9887855964381,76.66369430101278,1047.126153212406
49,2017-10-21,582.9005403050394,67.28364916153096,1098.5641160044806
50,2017-10-22,582.6249163241008,108.37201755521797,1084.797320330064
51,2017-10-23,581.7893037369583,109.95204684638321,1079.105985729474
52,2017-10-24,580.7971226922355,128.84131452573078,1073.112834421385
53,2017-10-25,579.1288649534845,87.25918326807684,1081.9709162293661
54,2017-10-26,578.095519003215,98.94034629360638,1065.1153060949189
55,2017-10-27,573.9857853068748,73.60054882873287,1087.5493938816255
56,2017-10-28,574.4144150260333,72.9804098548722,1061.6753943885801
57,2017-10-29,573.7859025785283,95.87391757249614,1116.892252789658
58,2017-10-30,572.7267596461002,83.33222427559927,1100.0340492398357
59,2017-10-31,571.6366943825012,80.21416484972572,1124.1316101020384
60,2017-11-01,569.9898513218178,72.5494842234979,1026.2367609749547
61,2017-11-02,569.0885005100968,82.70398048129826,1054.8149790016162
62,2017-11-03,565.2105735294955,63.97173653115357,1013.268578348567
63,2017-11-04,565.9583693244339,84.29736224598606,1028.2949950095433
64,2017-11-05,565.7226486419404,85.19696629064991,1037.6732585766304
65,2017-11-06,565.1153328678798,82.80859976897469,1076.195344599169
66,2017-11-07,564.5211174692779,117.49969890975139,1039.6628428808376
67,2017-11-08,563.3991437533729,72.51559925371684,1071.8218532989617
68,2017-11-09,563.0371046994298,77.10164093544918,1024.303946440414
69,2017-11-10,559.6991710030334,60.993830931522396,1069.710322179682
70,2017-11-11,560.975049657775,76.82842471907028,1047.826199597883
71,2017-11-12,561.2443847161768,50.0624481560136,1022.894805662475
72,2017-11-13,561.1097078828349,80.69172063750626,1064.231162481189
73,2017-11-14,560.9482441218893,47.73057444652465,1068.5524778423608
74,2017-11-15,560.213711100349,88.8445459420339,1062.3886201311343
75,2017-11-16,560.1904866584354,96.1380948460635,1104.3733901147373
76,2017-11-17,557.1415303648308,75.70574067188105,1030.2941952855044
77,2017-11-18,558.6573734648772,15.700627797360317,1030.8578628033208
78,2017-11-19,559.1203907236359,89.12059541062409,1057.3709737886825
79,2017-11-20,559.1375674021916,80.26150085511743,1068.2445800984408
80,2017-11-21,559.0920736563728,97.28957946632904,1011.6211691832581
81,2017-11-22,558.4447935640726,50.7286731200947,1009.5383400038406
