,Region,index,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
0,Eastern,2158427,482123.7199999996,468831.45000000024,0.0,0.0,48686.61999999951,52461.95000000002
1,NorthEastern,2159416,32115.790000000066,33105.94999999998,0.0,0.0,17612.31999999991,14058.660000000003
2,Northern,2155460,655048.2600000007,602168.5200000003,26964.08000000008,31378.94000000001,188854.15999999808,201204.03000000012
3,Southern,2157438,610753.5600000003,543828.709999999,55855.210000000356,46483.240000000034,71109.33999999985,77083.80000000006
4,Western,2156449,1206631.6499999966,1197394.2199999988,27678.340000000066,31880.85,36235.340000000106,35180.01999999999
